,letter,frequency
0,বারংবারভয়ার্ত,1
1,ঘোড়াগুলি,1
2,আস্তাবলেকরছে,1
3,চিৎকার উটেরা,1
4,উৎকন্ঠা,1
5,পায় ঘোর,1
6,যায় বেদনার্ত,1
7,ঘন অথচ,1
8,বধির আমার,1
9,হাতমরুভূমির,1
10,জহরিলা,1
11,মতনতুলেছে,1
12,কেউবলেছে,1
13,পাতা অথচ,1
14,রটনায়,1
15,ওরাআমার,1
16,ঘোরেরাত্রিদিন,1
17,অন্তরালে কখনো,1
18,আমিপ্রিয়,1
19,ফেলিনি,1
20,পায়ে আরববাসীর,1
21,দ্রুতলাঘবের,1
22,যেনকরিনি,1
23,খনন,1
24,শহরে গ্রাম,1
25,গ্রামান্তরে ,1
26,নগরবাসীকে,1
27,এতকাল বাজাইনি,1
28,আত্মপ্রচারেরমোহে,1
29,নগরকেকখনো,1
30,দেইনি,1
31,কাগজে নিজেই,1
32,বলাসমীচীন,1
33,বলি কেননা,1
34,স্মৃতি জনগণ,1
35,হয় সেজন্যে,1
36,আমিকরেছি,1
37,বাঁধ ,1
38,সবারই করেছি,1
39,রোকেয়ার,1
40,সঙ্গেন বছর,1
41,যাপন শত,1
42,বিপর্যয়েরেখেছি,1
43,মতো মানব,1
44,সর্বদাছিল,1
45,ধ্রুবতারাআমার,1
46,জীবনে ,1
47,আমারকরে,1
48,কানাঘুষা দেয়,1
49,অপবাদস্বজনপ্রীতি,1
50,ধরেখুঁত,1
51,তারাকলঙ্ক,1
52,লেপন,1
53,অবয়বে যেমন,1
54,কাগজেখেলাচ্ছলে ,1
55,ফিকিরেনিয়ত,1
56,খেপিয়ে,1
57,শুধু আমার,1
58,ছাপমরুর,1
59,যায়নিমেষেই ,1
60,হত্যাকারীগণহচ্ছে,1
61,শানাচ্ছে,1
62,হাতিয়ারএবং,1
63,আসবেই,1
64,দলেজোট,1
65,অর্বাচীন জানে,1
66,তারগতি,1
67,কোনোকোলে এই,1
68,রক্তস্রোতঅবিরল,1
69,হাটুরের,1
70,আছিহাঁটু,1
71,ভেলায় এ,1
72,দেখে জ্যোৎস্নার,1
73,কোনোমহিলার,1
74,সাথে বাতিল,1
75,ডেরা তাহ লে,1
76,প্রায়ফুরফুরে,1
77,অপরাহ্নেঘাসের,1
78,সবুজকে,1
79,শ্যাওলায়মগ্ন,1
80,সূরে,1
81,তারআঙুলে,1
82,দেশলাই,1
83,জ্বালালে,1
84,আঁধারেপ্রাচীন,1
85,দেয়ালচিত্র,1
86,হবেকাতর,1
87,অসামাজিকতা,1
88,আররাখবে,1
89,ঢাকাও,1
90,জানেপূর্ণিমায় ,1
91,দরদালান,1
92,উড়েদুলিয়ে,1
93,আমার ওলোট,1
94,পালোট,1
95,ঝরেএখন,1
96,নেশাতুর,1
97,পড়ি শৈশব,1
98,দিনগুলি রাত্রিগুলি,1
99,মেশামেশি,1
100,কণিকায় ,1
101,স্বেদচিহ্নথেকে,1
102,অবয়বে জ্যোৎস্নায়,1
103,ভাসছি,1
104,ক্রমাগত জ্যোৎস্নায়,1
105,পূর্বগামী,1
106,পরিজন বুঝি,1
107,নিয়েআমন্ত্রণে,1
108,মৃত ভ্রান্তির,1
109,কণ্ঠস্বর দেখি,1
110,প্লেগ,1
111,মতোক্রুর,1
112,জামা ,1
113,ইতস্ততঃকাঁটাগুল্ম ,1
114,কেয়ারিগুলি,1
115,ওঠেপচা,1
116,নাড়িভুড়ি,1
117,হাড়গোড়ে ,1
118,কতিপয়ন্যাংটো,1
119,পথেকরছে,1
120,তাহ লে ,1
121,করেছে ওর,1
122,সারাক্ষণ যত,1
123,ভেবোনা,1
124,লক্ষ্মীটি ,1
125,খুবতাড়াতাড়ি,1
126,উঠবো ,1
127,নিও তত,1
128,অশ্রুকণা আমার,1
129,ধরনে জ্যোৎস্নায়,1
130,ভাসছো,1
131,বেসামাল,1
132,পূর্ণিমায় যাবো,1
133,শৈলাবাসে তুমি,1
134,যাবে জ্বরদগ্ধ,1
135,স্নেহজাত,1
136,পথ্যতার,1
137,ফুলরোগীর,1
138,উদ্দেশ্যে আমার,1
139,কণ্ঠস্বরেপ্রশ্ন,1
140,‘বলতে,1
141,ছুঁই জানতে,1
142,ব্যাকুলতায়,1
143,এইগোধূলিবেলায় ,1
144,থেমেবলে ,1
145,ছুড়েদিয়েছি,1
146,কিউঁকি,1
147,সওয়াল  ,1
148,কোণা,1
149,যাচাইকরি ,1
150,আবছাকিছু,1
151,দিয়েছেঢেকে,1
152,কথাকে ,1
153,গিয়েবসি,1
154,শেলফ্‌,1
155,নানাবই,1
156,ঘরেলেখার,1
157,সেট ,1
158,নতুনকলম ,1
159,কছু,1
160,টেবিলল্যাম্প ,1
161,টেবিলেরশরীর,1
162,ঘেঁরা,1
163,স্থিত,1
164,হয় অনুরক্ত ,1
165,দ্যাখে কতকাল,1
166,নিজেরপ্রকৃত,1
167,কখনওদিনে ,1
168,অচমকাগুটিয়ে,1
169,হারাই ,1
170,উঠেঅন্ধকারে,1
171,জানালা বুক,1
172,শেল্‌ফ,1
173,তুমি বলতে,1
174,অস্থিরতায়,1
175,পাশও,1
176,পাথুরেঅন্ধকার,1
177,চৌদিকে কিঞ্চিৎ,1
178,গন্তব্যকোথায় ,1
179,দেবে  ,1
180,যেন হাহাকারময়,1
181,উচ্চারণ ‘কোথায়,1
182,নেই ‘,1
183,আঁধারেঢুকে,1
184,পাইনি পথে,1
185,আমাকেস্বেচ্ছায়,1
186,ভঙ্গিতেমুগ্ধ,1
187,ফেললো ,1
188,ওরাকখন,1
189,বুঝিনি ,1
190,গেলোকখন ,1
191,টেরই,1
192,এককর্কশ,1
193,ধরছেবারবার ,1
194,দূরেরএক,1
195,পাখিকেদেখি ,1
196,কখনওমধুর,1
197,নির্জনবুনো,1
198,অদূরেগাছতলায়,1
199,বুজুর্গকে,1
200,পক্ক,1
201,আলেমতাকান,1
202,অপরূপদৃষ্টি,1
203,কেতাব ইচ্ছে,1
204,অবনত,1
205,পরক্ষণেদৃশ্য,1
206,মেঘমালার,1
207,তাকিয়েনতুন,1
208,ফোটেআসমানে,1
209,কার্পেট,1
210,যাত্রীতাকান,1
211,হাসিস্নাত,1
212,ব্যাপারটি ,1
213,রোজকারমতোই,1
214,চেয়ারেআরামে,1
215,তখনসকাল,1
216,রয়েছে আমি,1
217,মনেসৃজনে,1
218,ভেসেউঠছিল,1
219,হ্রদে ,1
220,আচমকাচোখে,1
221,আমার আমাদের,1
222,বসতিকে ,1
223,জ্বালাবারপ্রয়াস,1
224,জাহাঁবাজতিমিরবিলাসী,1
225,অকৃপণসোন্দর্যের,1
226,ঘরে অথচ,1
227,ধ্যানেদীর্ঘকাল,1
228,কবিচিত্ত,1
229,অবচেতনায়আধো,1
230,গৌরববিহীনঅন্ধকারে,1
231,বছর আমার,1
232,ঝড় তুহিন,1
233,রাত্রিদিন তবুও,1
234,গমগীন্‌অগ্নিদগ্ধ,1
235,স্তব্ধতায় করেনি,1
236,যায়বলে,1
237,প্রতিবেশ,1
238,কারো আমাকে,1
239,জাগালে,1
240,তন্তুজালে ,1
241,গাঢ়এই,1
242,হঠাৎ তোমাকে,1
243,দূরযাত্রা ,1
244,পাবোই,1
245,কেঁদেছে,1
246,তারখবর,1
247,ভেসে যেন,1
248,কষ্টেও,1
249,হেসেসহজে,1
250,অত্যাচার আমাকে,1
251,নিষণ্ন,1
252,তুমিএমন,1
253,শীতলউচ্চারণে ,1
254,ঢেলেছি,1
255,জলতোমার,1
256,ভাবাচ্ছে,1
257,সন্ত্রন্ত,1
258,জানিঅন্ধকার,1
259,কেঁপেউঠি,1
260,প্রাণীশিঙ,1
261,ব্যেপেকুঞ্জটিকা,1
262,খুঁজিপ্রতিক্ষণ ,1
263,হরহামেশাচলছে,1
264,হুল্লোড়অবশ্য,1
265,লেখকদের,1
266,চক্রে এ,1
267,টানছে অমুক,1
268,তমুকের,1
269,গুষ্টির,1
270,পিণ্ডিচটকাচ্ছে ,1
271,রটানোর,1
272,মতলবেছিটোচ্ছে,1
273,মারছেআকাশে,1
274,তা স্রোতের,1
275,দীয়া,1
276,ঢেউগুলিওদের,1
277,নিরুদ্দেশে কোনো,1
278,দীয়া ,1
279,যাত্রারম্ভেইযাবে,1
280,উল্টে ,1
281,দম্ভের,1
282,অনেকে একটি,1
283,হয়তভিড়বে,1
284,অতএর,1
285,লিখিতা ,1
286,দরকারলোমশ,1
287,চাপড়াবার ,1
288,আখেরেগুয়ে,1
289,তলারসোঁদা,1
